edge_id,source_node_id,relation_type,target_node_id,event_time,available_at,valid_from,valid_to,split,prediction_time_safe,source_news_id,source_url,evidence_text,confidence,extraction_method,review_status,attributes_json,dataset_version,graph_version,kg_layer,quality_tier,validation_basis,allowed_use,layered_release_version
edge:7552e577572a4ccf60eeb364,news:77dd091c6a5c36dae8a4dcb31982e965,MENTIONS,stock:TCB,2022-07-28,2022-07-28,2022-07-28,,test,True,77dd091c6a5c36dae8a4dcb31982e965,https://www.tinnhanhchungkhoan.vn/techcombank-duoc-the-asian-banker-vinh-danh-giai-thuong-ngan-hang-cung-cap-giai-phap-tai-tro-chuoi-cung-ung-tot-nhat-viet-nam-post302587.html,TITLE_COMPANY|BODY_COMPANY,MEDIUM,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""entity_confidence"": ""HIGH"", ""mention_count"": ""11"", ""relation_directness"": ""TITLE_ENTITY_MENTION"", ""sample_id"": ""15d7b2eec7835c537819""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,VALIDATED_HIGH_PRECISION_PIPELINE,"Entity pipeline HIGH_PRECISION stratum: precision 0.9189; Wilson 95% lower bound 0.8705. This is pipeline-level, not row-level human validation.",QUERY_ENTITY_LINK_AND_EXPLORATORY_MODELING,FINNEXUS_LAYERED_KG_V3_0
edge:755f164bf11b9ddba69013a5,news:7ca1c123de9f54a344b5c0896b831041,PUBLISHED_BY,source:916a66d113b8164a,2020-12-28,2020-12-28,2020-12-28,,train,True,7ca1c123de9f54a344b5c0896b831041,https://vietnambiz.vn/hai-cong-ty-lien-quan-den-lanh-dao-tap-doan-masan-dang-ky-mua-7-trieu-co-phieu-msn-20201228185538715.htm,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:7582b0052e86f728d8e23c1a,news:e6a908a905dce3257260d2b793ded52e,PUBLISHED_AT,time:2020-11-10,2020-11-10,2020-11-10,2020-11-10,,train,True,e6a908a905dce3257260d2b793ded52e,https://cafef.vn/hcm-hag-skg-nav-ckg-tcl-scj-spv-thong-tin-giao-dich-luong-lon-co-phieu-20201110180200303.chn,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:7585dea7fc63e072ac4104bc,news:030f953c2f6b2814c6e7dd92ccd47a3a,MENTIONS,stock:MSN,2019-11-07,2019-11-07,2019-11-07,,train,True,030f953c2f6b2814c6e7dd92ccd47a3a,https://cafef.vn/masan-resources-msr-chot-danh-sach-co-dong-phat-hanh-gan-90-trieu-co-phieu-tra-co-tuc-20191107092042407.chn,TITLE_COMPANY|BODY_COMPANY,HIGH,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""entity_confidence"": ""HIGH"", ""mention_count"": ""8"", ""relation_directness"": ""TITLE_ENTITY_MENTION"", ""sample_id"": ""4de7492e4c65a6a1fb35""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,VALIDATED_HIGH_PRECISION_PIPELINE,"Entity pipeline HIGH_PRECISION stratum: precision 0.9189; Wilson 95% lower bound 0.8705. This is pipeline-level, not row-level human validation.",QUERY_ENTITY_LINK_AND_EXPLORATORY_MODELING,FINNEXUS_LAYERED_KG_V3_0
edge:759eee3a011d92a181a6754f,news:7a09ae19d33b0bdabb1d28a3bde652d5,PUBLISHED_BY,source:916a66d113b8164a,2022-01-15,2022-01-15,2022-01-15,,validation,True,7a09ae19d33b0bdabb1d28a3bde652d5,https://vietnambiz.vn/quy-ngoai-quy-mo-4-ty-usd-vua-mua-13-trieu-co-phieu-mwg-20220114213709516.htm,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:75acd1be0dce00c57a53f80e,stock:ANV,BELONGS_TO,industry:17b68cac5bbf1e12,,,,,,True,,,,MEDIUM,STOCK_REFERENCE_MASTER,REFERENCE_DATA,"{""temporal_assumption"": ""REFERENCE_SNAPSHOT_ASSUMED_VALID_2019_2022""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,REFERENCE_WITH_STATIC_VALIDITY_ASSUMPTION,"Local stock reference; historical effective dates are not available, so 2019-2022 validity is an explicit assumption.",QUERY_AND_REFERENCE_JOIN,FINNEXUS_LAYERED_KG_V3_0
edge:75b7202723255b6f7e9134e4,news:cd8c44ac8d5600d5cc2b46ed74ff0cdb,MENTIONS,stock:VNM,2020-05-13,2020-05-13,2020-05-13,,train,True,cd8c44ac8d5600d5cc2b46ed74ff0cdb,https://cafef.vn/vnm-vph-hdc-dha-lm8-svi-vsc-ame-svn-spi-pbk-ktt-tkc-idj-thong-tin-giao-dich-luong-lon-co-phieu-20200513093215638.chn,TITLE_TICKER|BODY_ALIAS|BODY_TICKER|TARGET_CONTEXT,MEDIUM,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""entity_confidence"": ""HIGH"", ""mention_count"": ""3"", ""relation_directness"": ""TITLE_TICKER_WITH_TARGET_CONTEXT"", ""sample_id"": ""a6d686e1c6b41206f569""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,VALIDATED_HIGH_PRECISION_PIPELINE,"Entity pipeline HIGH_PRECISION stratum: precision 0.9189; Wilson 95% lower bound 0.8705. This is pipeline-level, not row-level human validation.",QUERY_ENTITY_LINK_AND_EXPLORATORY_MODELING,FINNEXUS_LAYERED_KG_V3_0
edge:75c3c1652b269e155f21030d,news:22ab63882cd6cb336e349193bb4663a4,MENTIONS,stock:FPT,2021-06-22,2021-06-22,2021-06-22,,train,True,22ab63882cd6cb336e349193bb4663a4,https://vietnambiz.vn/co-phieu-tam-diem-23-6-fpt-lcg-hii-20210622174651656.htm,TITLE_TICKER|BODY_TICKER|TARGET_CONTEXT,HIGH,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""entity_confidence"": ""HIGH"", ""mention_count"": ""5"", ""relation_directness"": ""TITLE_TICKER_WITH_TARGET_CONTEXT"", ""sample_id"": ""55178cf5b0cbc67145a2""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,VALIDATED_HIGH_PRECISION_PIPELINE,"Entity pipeline HIGH_PRECISION stratum: precision 0.9189; Wilson 95% lower bound 0.8705. This is pipeline-level, not row-level human validation.",QUERY_ENTITY_LINK_AND_EXPLORATORY_MODELING,FINNEXUS_LAYERED_KG_V3_0
edge:75d1638cafbb8a1245ae1b31,news:47ecf3fb9b63841cf9b2372e8c86fef3,PUBLISHED_BY,source:779dcad2f392c554,2020-09-18,2020-09-18,2020-09-18,,train,True,47ecf3fb9b63841cf9b2372e8c86fef3,https://www.tinnhanhchungkhoan.vn/ong-nguyen-ba-duong-rut-khoi-vinamilk-vi-ly-do-suc-khoe-post250543.html,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:75d892c995869e0dddd835cb,news:18ae6727c8c96d3649b6699defb4fed6,PUBLISHED_BY,source:d3688b7c417bb1a2,2019-10-02,2019-10-02,2019-10-02,,train,True,18ae6727c8c96d3649b6699defb4fed6,https://cafef.vn/ntp-ppe-imp-cti-ct3-htt-lmh-ldp-vpr-d11-thong-tin-giao-dich-luong-lon-co-phieu-20191002083230316.chn,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
